127.0.0.1 - - [14/Nov/2021:11:16:44 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Nov/2021:11:16:54 +0700] "GET /BanHangjsp/ HTTP/1.1" 404 688
0:0:0:0:0:0:0:1 - - [14/Nov/2021:11:16:54 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [14/Nov/2021:11:16:57 +0700] "GET /BanHang HTTP/1.1" 404 680
0:0:0:0:0:0:0:1 - - [14/Nov/2021:11:16:58 +0700] "GET /BanHang HTTP/1.1" 404 680
0:0:0:0:0:0:0:1 - - [14/Nov/2021:11:16:59 +0700] "GET /BanHang HTTP/1.1" 404 680
0:0:0:0:0:0:0:1 - - [14/Nov/2021:11:17:08 +0700] "GET /BanHang/say-hello HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [14/Nov/2021:11:17:29 +0700] "GET /BanHang/say-hello HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [14/Nov/2021:11:17:30 +0700] "GET /BanHang/say-hello HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [14/Nov/2021:11:17:30 +0700] "GET /BanHang/say-hello HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [14/Nov/2021:11:17:31 +0700] "GET /BanHang/say-hello HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [14/Nov/2021:13:04:28 +0700] "GET /BanHang/say-hello HTTP/1.1" 404 694
